,date,window,uid,cross-entropy
0,2016-10-12 21:36:26,2015-12-30 23:54:31,0,7.075564771640236
1,2016-10-12 21:36:26,2015-12-30 23:54:31,1,7.924185329418002
2,2016-10-12 21:36:26,2015-12-30 23:54:31,2,8.905506826654722
3,2016-10-12 21:36:26,2015-12-30 23:54:31,3,7.2815302944109614
4,2016-10-12 21:36:26,2015-12-30 23:54:31,4,8.204660054844464
5,2016-10-12 21:36:26,2015-12-30 23:54:31,5,8.554340287060837
6,2016-10-12 21:36:26,2015-12-30 23:54:31,6,9.012406229524213
7,2016-10-12 21:36:26,2015-12-30 23:54:31,7,9.67872149939563
8,2016-10-12 21:36:26,2015-12-30 23:54:31,8,8.325112254397846
9,2016-10-12 21:36:26,2015-12-30 23:54:31,9,8.107389216470342
10,2016-10-12 21:36:26,2015-12-30 23:54:31,10,9.045298712495992
11,2016-10-12 21:36:26,2015-12-30 23:54:31,11,7.031771673957617
12,2016-10-12 21:36:26,2015-12-30 23:54:31,12,8.890519535893564
13,2016-10-12 21:36:26,2015-12-30 23:54:31,13,7.7235575008355974
14,2016-10-12 21:36:26,2015-12-30 23:54:31,14,9.014008232771682
15,2016-10-12 21:36:26,2015-12-30 23:54:31,15,7.5359734925623645
16,2016-10-12 21:36:26,2015-12-30 23:54:31,16,7.688961207827976
17,2016-10-12 21:36:26,2015-12-30 23:54:31,17,8.618079109856119
18,2016-10-12 21:36:26,2015-12-30 23:54:31,18,8.192171495856902
19,2016-10-13 17:37:54,2015-12-30 23:54:31,19,9.185685857390977
20,2016-10-13 18:30:24,2015-12-30 23:54:31,20,9.189898878599925
21,2016-10-13 18:41:42,2015-12-30 23:54:31,21,7.501619375396106
22,2016-10-14 13:48:11,2015-12-30 23:54:31,22,6.513059253678092
23,2016-10-14 18:59:17,2015-12-30 23:54:31,23,7.732773194744471
24,2016-10-14 19:52:42,2015-12-30 23:54:31,24,6.493464178583687
25,2016-10-14 19:52:42,2015-12-30 23:54:31,25,7.316784865414877
26,2016-10-14 19:52:42,2015-12-30 23:54:31,26,7.221755370402996
27,2016-10-14 19:52:42,2015-12-30 23:54:31,27,7.32953789985925
28,2016-10-14 19:52:42,2015-12-30 23:54:31,28,6.414761099323578
29,2016-10-14 19:52:42,2015-12-30 23:54:31,29,8.280922897038518
30,2016-10-14 21:36:05,2015-12-30 23:54:31,30,9.749742153472502
31,2016-10-14 21:36:05,2015-12-30 23:54:31,31,9.147659298454888
32,2016-10-15 13:45:34,2015-12-30 23:54:31,32,7.4399216478827785
33,2016-10-15 13:45:34,2015-12-30 23:54:31,33,7.257265901226559
34,2016-10-15 18:06:49,2015-12-30 23:54:31,34,10.098173658624914
35,2016-10-15 18:06:49,2015-12-30 23:54:31,35,9.486665279807912
36,2016-10-15 18:06:49,2015-12-30 23:54:31,36,8.885597070696571
37,2016-10-17 09:42:07,2015-12-30 23:54:31,37,7.283482539673266
38,2016-10-17 12:30:39,2015-12-30 23:54:31,38,9.481437694234577
39,2016-10-17 12:30:39,2015-12-30 23:54:31,39,8.280842934763525
40,2016-10-17 12:30:39,2015-12-30 23:54:31,40,7.443140593898536
41,2016-10-17 18:07:55,2015-12-30 23:54:31,41,5.836958018987881
42,2016-10-17 21:51:24,2015-12-30 23:54:31,42,7.987440553070249
43,2016-10-17 21:51:24,2015-12-30 23:54:31,43,9.753682002674413
44,2016-10-17 21:51:24,2015-12-30 23:54:31,44,8.913647143057531
45,2016-10-17 21:51:24,2015-12-30 23:54:31,45,8.69889579171987
46,2016-10-17 21:51:24,2015-12-30 23:54:31,46,9.155636074513016
47,2016-10-18 06:58:57,2015-12-30 23:54:31,47,8.150629144653186
48,2016-10-18 07:31:31,2015-12-30 23:54:31,48,9.383694574045144
49,2016-10-18 07:31:31,2015-12-30 23:54:31,49,6.917072957861965
50,2016-10-18 08:19:16,2015-12-30 23:54:31,50,7.839452924239882
51,2016-10-18 12:05:28,2015-12-30 23:54:31,51,7.9464191505145605
52,2016-10-18 12:05:28,2015-12-30 23:54:31,52,8.417816668019553
53,2016-10-18 19:58:00,2015-12-30 23:54:31,53,9.87149245782423
54,2016-10-18 19:58:00,2015-12-30 23:54:31,54,8.631549781757014
55,2016-10-18 20:16:17,2015-12-30 23:54:31,55,6.73375556967285
56,2016-10-18 20:16:17,2015-12-30 23:54:31,56,6.5332754121673515
57,2016-10-18 20:20:03,2015-12-30 23:54:31,57,7.082825338147658
58,2016-10-18 20:21:40,2015-12-30 23:54:31,58,8.488443028264086
59,2016-10-18 20:24:23,2015-12-30 23:54:31,59,8.364676873136611
60,2016-10-18 20:24:23,2015-12-30 23:54:31,60,8.087034986756056
61,2016-10-18 20:30:51,2015-12-30 23:54:31,61,7.601944092564193
62,2016-10-18 20:30:51,2015-12-30 23:54:31,62,7.50378758480371
63,2016-10-18 20:30:51,2015-12-30 23:54:31,63,8.055797679155074
64,2016-10-18 20:30:51,2015-12-30 23:54:31,64,7.837525797649559
65,2016-10-18 20:30:51,2015-12-30 23:54:31,65,7.515843596262645
66,2016-10-18 20:30:51,2015-12-30 23:54:31,66,8.661575078270307
67,2016-10-18 20:32:52,2015-12-30 23:54:31,67,7.584723574706664
68,2016-10-18 20:37:23,2015-12-30 23:54:31,68,7.445425727982098
69,2016-10-18 20:40:44,2015-12-30 23:54:31,69,6.826425446007981
70,2016-10-18 20:46:28,2015-12-30 23:54:31,70,7.515718519314245
71,2016-10-18 20:46:28,2015-12-30 23:54:31,71,7.004123094401582
72,2016-10-18 20:54:34,2015-12-30 23:54:31,72,7.850497323654143
73,2016-10-18 21:03:46,2015-12-30 23:54:31,73,7.152823174651285
74,2016-10-18 21:03:46,2015-12-30 23:54:31,74,8.67881343095085
75,2016-10-18 21:08:41,2015-12-30 23:54:31,75,6.397951935431661
76,2016-10-18 21:08:41,2015-12-30 23:54:31,76,6.74154617828116
77,2016-10-18 21:08:41,2015-12-30 23:54:31,77,7.49123263894673
78,2016-10-18 21:08:41,2015-12-30 23:54:31,78,6.7785987235265805
79,2016-10-18 21:11:54,2015-12-30 23:54:31,79,6.919074957519147
80,2016-10-18 21:41:52,2015-12-30 23:54:31,80,6.985909348500937
81,2016-10-18 21:41:52,2015-12-30 23:54:31,81,7.9256583853547395
82,2016-10-18 21:41:52,2015-12-30 23:54:31,82,8.397249110848971
83,2016-10-18 21:41:52,2015-12-30 23:54:31,83,6.220446358789415
84,2016-10-18 21:41:52,2015-12-30 23:54:31,84,7.169588394392308
85,2016-10-18 21:41:52,2015-12-30 23:54:31,85,6.302777550335551
86,2016-10-18 21:41:52,2015-12-30 23:54:31,86,6.274529113724276
87,2016-10-18 21:41:52,2015-12-30 23:54:31,87,7.130771406269264
88,2016-10-18 21:41:52,2015-12-30 23:54:31,88,6.739234559468825
89,2016-10-18 21:48:49,2015-12-30 23:54:31,89,8.60465087664691
90,2016-10-18 22:26:43,2015-12-30 23:54:31,90,7.986936398466466
91,2016-10-19 00:50:17,2015-12-30 23:54:31,91,7.176989606627282
92,2016-10-19 01:06:49,2015-12-30 23:54:31,92,5.75684362630046
93,2016-10-19 01:06:49,2015-12-30 23:54:31,93,6.2643286242740395
94,2016-10-19 01:24:05,2015-12-30 23:54:31,94,6.952160087193627
95,2016-10-19 02:01:54,2015-12-30 23:54:31,95,9.296003455818491
96,2016-10-19 02:01:54,2015-12-30 23:54:31,96,7.810524837198246
97,2016-10-19 02:11:09,2015-12-30 23:54:31,97,7.578434604240287
98,2016-10-19 02:11:09,2015-12-30 23:54:31,98,7.464982406538134
99,2016-10-19 02:11:09,2015-12-30 23:54:31,99,7.228954984078146
100,2016-10-19 02:11:09,2015-12-30 23:54:31,100,7.9629085981973144
101,2016-10-19 02:13:22,2015-12-30 23:54:31,101,6.0076118513839205
102,2016-10-19 07:42:55,2015-12-30 23:54:31,102,8.167607823418232
103,2016-10-19 07:42:55,2015-12-30 23:54:31,103,7.588055902851304
104,2016-10-19 07:42:55,2015-12-30 23:54:31,104,7.5769493392841065
105,2016-10-19 07:42:55,2015-12-30 23:54:31,105,8.121782357364202
106,2016-10-19 07:42:55,2015-12-30 23:54:31,106,6.593057033158316
107,2016-10-19 07:49:50,2015-12-30 23:54:31,107,7.568131831459128
108,2016-10-19 12:50:59,2015-12-30 23:54:31,108,8.691752774295868
109,2016-10-19 16:00:09,2015-12-30 23:54:31,109,8.492791170576538
110,2016-10-20 08:36:57,2015-12-30 23:54:31,110,6.61794486346306
111,2016-10-20 08:36:57,2015-12-30 23:54:31,111,7.623106086794075
112,2016-10-20 08:36:57,2015-12-30 23:54:31,112,7.697969180992716
113,2016-10-20 08:36:57,2015-12-30 23:54:31,113,7.562591373536703
114,2016-10-20 13:38:41,2015-12-30 23:54:31,114,7.566851284566842
