Month,Value
2013-01,4
2013-02,4
2013-03,4
2013-04,5
2013-05,4
2013-06,6
2013-07,4
2013-08,4
2013-09,5
2013-10,4
2013-11,4
2013-12,4
2014-01,4
2014-02,5
2014-03,4
2014-04,5
2014-05,4
2014-06,6
2014-07,4
2014-08,5
2014-09,5
2014-10,4
2014-11,4
2014-12,6
2015-01,5
2015-02,7
2015-03,6
2015-04,7
2015-05,9
2015-06,10
2015-07,11
2015-08,11
2015-09,15
2015-10,14
2015-11,15
2015-12,19
2016-01,49
2016-02,36
2016-03,24
2016-04,24
2016-05,28
2016-06,36
2016-07,48
2016-08,49
2016-09,53
2016-10,45
2016-11,46
2016-12,46
2017-01,48
2017-02,75
2017-03,73
2017-04,65
2017-05,66
2017-06,61
2017-07,71
2017-08,76
2017-09,75
2017-10,64
2017-11,99
2017-12,85
2018-01,68
2018-02,81
2018-03,70
2018-04,70
2018-05,62
2018-06,57
2018-07,56
2018-08,58
2018-09,52
2018-10,49
2018-11,58
2018-12,56
2019-01,57
2019-02,77
2019-03,100
2019-04,64
2019-05,51
2019-06,42
2019-07,46
2019-08,42
2019-09,42
2019-10,43
2019-11,44
2019-12,39
2020-01,40
2020-02,60
2020-03,37
2020-04,38
2020-05,42
2020-06,38
2020-07,33
2020-08,34
2020-09,32
2020-10,34
2020-11,27
2020-12,27
2021-01,30
2021-02,28
2021-03,25
2021-04,27
2021-05,27
