ngram,freq1,freq2,LR,LL,Len_Corpus1,Len_Corpus2
longitude,1075,0,9.93983338589841,808.6437797557695,6752856,3083437
circumference,718,0,9.357885922932685,540.0988221996672,6752856,3083437
refraction,2177,2,8.635570485074213,1610.2657581148399,6752856,3083437
mirage,357,0,8.350841008141101,268.54495755610196,6752856,3083437
mercator,330,0,8.237548037983041,248.23483471572447,6752856,3083437
saros,311,0,8.15212992949935,233.94252605027367,6752856,3083437
santiago,305,0,8.124070146294079,229.42916541907869,6752856,3083437
equinox,839,1,7.997465590691222,617.9727168177004,6752856,3083437
clockwise,274,0,7.969703915480547,206.1101354912379,6752856,3083437
trigonometry,273,0,7.964438599267905,205.35790871937206,6752856,3083437
equidistant,233,0,7.736320316185011,175.26883784473887,6752856,3083437
interferometer,229,0,7.711391919889157,172.25993075727555,6752856,3083437
capricorn,223,0,7.673172597658667,167.74657012608054,6752856,3083437
monopole,220,0,7.653676422032869,165.48988981048305,6752856,3083437
ua,1833,4,7.539501125744702,1331.0839034472522,6752856,3083437
unipolar,202,0,7.5308196742473354,151.9498079168981,6752856,3083437
enag,572,1,7.445210958738499,417.89375634771204,6752856,3083437
allais,186,0,7.4120733967305865,139.9141795670447,6752856,3083437
gravimeter,185,0,7.404316953096152,139.16195279517888,6752856,3083437
johannesburg,176,0,7.332565949746529,132.3919118483864,6752856,3083437
ecliptic,175,0,7.324368796779909,131.63968507652055,6752856,3083437
gyroscope,170,0,7.282669505499521,127.8785512171914,6752856,3083437
geodetic,169,0,7.274183039611692,127.12632444532557,6752856,3083437
sextant,167,0,7.257058861820484,125.62187090159391,6752856,3083437
atmolayer,167,0,7.257058861820484,125.62187090159391,6752856,3083437
elevations,166,0,7.248419943546611,124.86964412972807,6752856,3083437
qantas,165,0,7.239728983282567,124.11741735786224,6752856,3083437
surveyors,161,0,7.204431931169274,121.10851027039891,6752856,3083437
triangulation,157,0,7.168249594862628,118.09960318293558,6752856,3083437
hemiplane,153,0,7.131136421845528,115.09069609547225,6752856,3083437
theodolite,152,0,7.121707008925598,114.33846932360643,6752856,3083437
coriolis,1060,3,7.1122155599483,763.1076283909458,6752856,3083437
deg,146,0,7.063798430897597,109.82510869241143,6752856,3083437
auckland,144,0,7.043967258976028,108.32065514867978,6752856,3083437
equator,2736,9,7.039230204239252,1958.0369888586033,6752856,3083437
horizon,9237,33,6.976239129938452,6586.888500575744,6752856,3083437
trig,137,0,6.972329384887371,103.05506774561896,6752856,3083437
gyro,136,0,6.961798717395201,102.30284097375312,6752856,3083437
haversine,136,0,6.961798717395201,102.30284097375312,6752856,3083437
shaq,135,0,6.95119061782922,101.55061420188733,6752856,3083437
hemispheres,134,0,6.940503939031973,100.7983874300215,6752856,3083437
distances,3868,14,6.928619139858147,2756.643300463639,6752856,3083437
ligo,129,0,6.885849864161902,97.03725357069234,6752856,3083437
equinoxes,126,0,6.852035151169659,94.78057325509484,6752856,3083437
navigators,125,0,6.8405851304261205,94.02834648322902,6752856,3083437
transmitters,122,0,6.8056795154779195,91.77166616763151,6752856,3083437
sidereal,122,0,6.8056795154779195,91.77166616763151,6752856,3083437
globular,121,0,6.79385408008113,91.01943939576569,6752856,3083437
axial,120,0,6.7819309127053105,90.26721262389985,6752856,3083437
polaris,839,3,6.7750731693547745,598.2661609665126,6752856,3083437
epicycles,118,0,6.757784825373608,88.76275908016818,6752856,3083437
stellarium,114,0,6.708245364572293,85.75385199270485,6752856,3083437
convexity,114,0,6.708245364572293,85.75385199270485,6752856,3083437
pluto,112,0,6.682822767692386,84.2493984489732,6752856,3083437
wavelengths,112,0,6.682822767692386,84.2493984489732,6752856,3083437
â«,111,0,6.669941476395653,83.49717167710736,6752856,3083437
hampden,110,0,6.65694413586678,82.74494490524152,6752856,3083437
ic,110,0,6.65694413586678,82.74494490524152,6752856,3083437
gravimeters,108,0,6.630592808919828,81.24049136150987,6752856,3083437
cartography,108,0,6.630592808919828,81.24049136150987,6752856,3083437
receding,106,0,6.603751196701187,79.7360378177782,6752856,3083437
gauss,105,0,6.590140765182534,78.98381104591238,6752856,3083437
ptolemy,102,0,6.548521675980795,76.72713073031487,6752856,3083437
eers,101,0,6.534377493660525,75.97490395844905,6752856,3083437
michelson,294,1,6.4862028995846535,210.10418194026468,6752856,3083437
equatorial,270,1,6.363563859581007,192.22075340315817,6752856,3083437
bi-polar,257,1,6.292507697824774,182.54031024316626,6752856,3083437
ret,1456,8,6.289868721365358,1014.4947415410716,6752856,3083437
rowbotham,2388,14,6.232949742819042,1656.8202508331078,6752856,3083437
fe'ers,738,4,6.227570685797826,514.6607930040842,6752856,3083437
diagram,1310,8,6.1374803735534265,906.3554057943816,6752856,3083437
lat,228,1,6.120129430812263,160.96470121785205,6752856,3083437
magnification,373,2,6.0920779143772235,260.29629231879164,6752856,3083437
tropic,371,2,6.084331882126582,258.8132865990121,6752856,3083437
diagrams,364,2,6.056888485914923,253.6236853852679,6752856,3083437
eratosthenes,215,1,6.0356231348432905,151.30290398354873,6752856,3083437
azimuthal,213,1,6.022171335374683,149.81709862734394,6752856,3083437
altitude,2309,16,5.998012287965932,1582.7986950621103,6752856,3083437
accelerating,1423,10,5.951950931438854,974.3905168037297,6752856,3083437
cavendish,331,2,5.919978541700574,229.1792524965883,6752856,3083437
gleason,197,1,5.909787918818658,137.93726708235954,6752856,3083437
declination,195,1,5.895103873061545,136.4531699923948,6752856,3083437
